,twitler
4137,tügvagebze
4138,tügvalise
4139,instagramcom
4140,tügva gebze tugvagebze instagram photos videosserap dogan
4141,serap
4142,
4143,mar
4144,online eğitim olmaz sanal dünyaya maruz kalan çocuklarımızın yolu çıkmaz yoldureğitimdemetaversehayir
4145,
4146,yalova makine ihtisas osb
4147,yalovamakineosb
4148,
4149,mar
4150,online eğitim serisi kapsamında ayki saygıdeğer konuklarımız anka sürdürülebilir çözümler kurucu ortağı phd özge yılmaz beril şenyurt olacak salı saat düzenlenecek webinarımıza katılımcılarımızı bekliyoruz
4151,kayıt httpsbitlyivdlr
4152,
4153,milamika
4154,milamika
4155,
4156,mar
4157,
4158,kovakaleciydi
4159,
4160,demetcarus
4161,uzaktan eğitim sürecinde kendini yırtan gundem olusturn öğretmenler evde maaş yatıp almak tatlı geldi işlerine geldi seminer online olsun ağladılar demekki uzaktan yada yapay zeka anlatıp geçse yürür iş havuza atılir çoğu iyi olur
4162,ercan altuğ yılmaz gamification master
4163,ercanaltug
4164,
4165,mar
4166,eğitimdemetaversehayir diyenlere inat bir ücretsiz eğitim online okulun açıldığı
4167,sodimertr
4168,metaverse okulunu duyurduk öğretmenlerimiz doğru teknoloji yeni nesle doğru ulaşabilmeli yoksa çağdışı kalacak
4169,gamfedturkiye
4170,drleventeraslan
4171,zeynepaydin
4172,quote tweet
4173,etp istanbul etp
4174,etpistanbul
4175,mar
4176,ali hantal türkiyenin ilk metaverse derneği kuruldu deneyim yaratıcısı olan gençler dünyada önemli yerlere gelecekler gençler harika bir fırsat başladı ercanaltug ahantal devrimdanyal etp
4177,
4178,hasan but wanna online eğitim
4179,obitoxdd
4180,
4181,mar
4182,
4183,suidiwa
4184,gel girelim
4185,fulbright türkiye
4186,fulbrightturkey
4187,
4188,mar
4189,abdde eğitim hayali kuran yaş grubu arasında yer alan bir öğrenci misiniz yanıtınız evetse educationusa academy connects sizin uygun olabilir
4190,stjohnsu
4191,ev sahipliğinde gerçekleşecek haftalık online program hakkında bilgi
4192,stjohnsedu
4193,educationusa academy academy connects
4194,timucin tohumcu
4195,timucinth
4196,
4197,mar
4198,
4199,gokturk_poyraz
4200,
4201,demetcarus
4202,plandemi online eğitim olsun tag açmışlardı esnaf kısıtlamalar kalksın inim inim inlerken maaşlarını alırken ses çıkarmıyorlardı sonunda ucu kendilerine dokununca akılları başlarına geldi
4203,timucin tohumcu
4204,timucinth
4205,
4206,mar
4207,
4208,lilith
4209,
4210,erkantrukten
4211,metaverse üzerine yapılan yoruma yapılan bir cevaptı demek istediğim pandemi döneminde esnaf kısıtlamalar kalksın kendini yırtarken öğretmenler online eğitim olsun tag açıyordu şimdide öğretmenlik bitecek isyan edenlere seslendim öğretmenlik isteseydim okurdumpsikolog önerisi
4212,psikologonerisi
4213,
4214,mar
4215,eğitim süpervizyonlarla devam edecek böylece verimi artıracağız artık ruh sağlığı alanında ihtiyacı olan danışanlara ulaşımı online olarak sağlayacağız umarım hepimiz iyi olacak güzel haberi sizlere vermek istedim
4216,ladin su perisi
4217,trolololadin
4218,
4219,mar
4220,
4221,sfmrt
4222,quasimodooo
4223,
4224,zkusagiz
4225,son model telefon demenden bile gerici olduğun anlaşılıyor telefon lüks değil ihtiyaç sene pandemi olduğunda çocuklar eğitimleri son model sandığın telefonla sayesinde online eğitim aldı bi ürünün pahalı yapması onu lüks yapmıyor ülkenin berbat ekonimisini gösteriyor
4226,
4227,mamak gençlik merkezi
4228,gsb_mamakgm
4229,
4230,mar
4231,merkezimizinde dahil olduğu ilde eşzamanlı olarak başlatılan deneyap oryantasyon eğitim programı ilk dersinin açılışına sayın selçuk bayraktar online olarak katıldı
4232,ilk ders heyecanımıza sayın daire başkanımız tarık karkınçam değerli il müdürümüz mustafa çelikte katıldı
4233,dr mehmet kasapoğlu others
4234,malcolm x
4235,mrymays
4236,
4237,mar
4238,online eğitim öğrencilere pek faydası olmadı maalesef alt yapımız yok metaversin etkisiz olacağını düşünüyorum eğitimdemetaversehayir
4239,
4240,dilan demir
4241,dilanndemir
4242,
4243,mar
4244,online eğitim verimliymiş
4245,
4246,pati
4247,fenicefelice
4248,
4249,mar
4250,
4251,fenicefelice
4252,
4253,numuque
4254,duyar imkani sunmayacaksa simsiki sarildiklari moda cogunluga ait gorusle celisiyorsa azinlik haklari zerre umurlarinda degil misal otizmli cocuk x okuluna alinmadi kampanyasi duyar imkani sunsun kosar online egitim savunurken aklina gelmez tum otizmli cocuklar
4255,
4256,pati
4257,fenicefelice
4258,
4259,mar
4260,
4261,fenicefelice
4262,
4263,numuque
4264,hadi ideal bir dunyada yasayalim herkesin odasi herkesin bilgisayari olsun onda bile online konsantre olamayacak cocuk vardir egitim sartlari mumkun oldugunca esitlemek olmalidir yuzden blended yontemler benimsenir herkesin sansi olsun kafalarinda yok
4265,
4266,online eğitim destekçisi
4267,onlinedestek
4268,
4269,mar
4270,
4271,kadircetincali
4272,takipten çıkmanın zamanı gelmişfulbright türkiye
4273,fulbrightturkey
4274,
4275,mar
4276,abdde eğitim hayali kuran yaş grubu arasında yer alan bir öğrenci misiniz yanıtınız evetse educationusa academy connects sizin uygun olabilir
4277,stjohnsu
4278,ev sahipliğinde gerçekleşecek haftalık online program hakkında bilgi
4279,stjohnsedu
4280,educationusa academy academy connects
4281,ladin su perisi
4282,trolololadin
4283,
4284,mar
4285,
4286,sfmrt
4287,quasimodooo
4288,
4289,zkusagiz
4290,son model telefon demenden bile gerici olduğun anlaşılıyor telefon lüks değil ihtiyaç sene pandemi olduğunda çocuklar eğitimleri son model sandığın telefonla sayesinde online eğitim aldı bi ürünün pahalı yapması onu lüks yapmıyor ülkenin berbat ekonimisini gösteriyor
4291,
4292,mamak gençlik merkezi
4293,gsb_mamakgm
4294,
4295,mar
4296,merkezimizinde dahil olduğu ilde eşzamanlı olarak başlatılan deneyap oryantasyon eğitim programı ilk dersinin açılışına sayın selçuk bayraktar online olarak katıldı
4297,ilk ders heyecanımıza sayın daire başkanımız tarık karkınçam değerli il müdürümüz mustafa çelikte katıldı
4298,dr mehmet kasapoğlu others
4299,malcolm x
4300,mrymays
4301,
4302,mar
4303,online eğitim öğrencilere pek faydası olmadı maalesef alt yapımız yok metaversin etkisiz olacağını düşünüyorum eğitimdemetaversehayir
4304,
4305,dilan demir
4306,dilanndemir
4307,
4308,mar
4309,online eğitim verimliymiş
4310,
4311,pati
4312,fenicefelice
4313,
4314,mar
4315,
4316,fenicefelice
4317,
4318,numuque
4319,duyar imkani sunmayacaksa simsiki sarildiklari moda cogunluga ait gorusle celisiyorsa azinlik haklari zerre umurlarinda degil misal otizmli cocuk x okuluna alinmadi kampanyasi duyar imkani sunsun kosar online egitim savunurken aklina gelmez tum otizmli cocuklar
4320,
4321,pati
4322,fenicefelice
4323,
4324,mar
4325,
4326,fenicefelice
4327,
4328,numuque
4329,hadi ideal bir dunyada yasayalim herkesin odasi herkesin bilgisayari olsun onda bile online konsantre olamayacak cocuk vardir egitim sartlari mumkun oldugunca esitlemek olmalidir yuzden blended yontemler benimsenir herkesin sansi olsun kafalarinda yok
4330,
4331,online eğitim destekçisi
4332,onlinedestek
4333,
4334,mar
4335,
4336,kadircetincali
4337,takipten çıkmanın zamanı gelmişmahmut seh
4338,mahmutseh
4339,
4340,mar
4341,
4342,selcoin
4343,online eğitim bile yürütelemedi
4344,olmadı altyapı bilgi donanım vs olmadi
4345,bilmediği şeyi kullanamazlar bilmiyorlar
4346,zoomda oda açamayan öğretmen odaya katılamayan çocuk odadaki eğitimi izletemeyen internet hızı
4347,bir ton sebep
4348,keşke olsa üzgünüm olamayacağı aşikar
4349,neo
4350,bltanbul
4351,
4352,mar
4353,
4354,babaninoglu
4355,santanareturn
4356,
4357,taksimturu
4358,onlar bizi fişlemiştir yüz yüze eğitim olsun diyen bizim aşısızları ilk olarak işten atarlar maskeli aşılı online destekçileri kalır limon satarım yine gözlüğü takmam
4359,
4360,gökhan dönmez
4361,gokhan
4362,
4363,mar
4364,online eğitim tecrübesinden sonra metavers gelecek denmesi tecrübelerden ders alamıyoruz demek olsa eğitimdemetaversehayir
4365,florya final okulu
4366,floryafinal
4367,
4368,mar
4369,semep eğitim öğretim yılında okulun katılımı online olarak gerçekleşti öğrencilerimiz efe uğurlu zeynep karakoç ada altepe duru ağraz ayşe nizam mine ceylin buran hazırladıkları proje afişlerini ingilizce türkçe olarak sundular semepyesnt hilal
4370,hilalalism
4371,
4372,mar
4373,
4374,vardirbirbildig
4375,rosaty
4376,others
4377,yksye girmişsin muhtemelen dönemlerinin çoğu pandemiye denk geldi online eğitim gördün ciddiye almaman normal geldi
4378,
4379,mamak gençlik merkezi
4380,gsb_mamakgm
4381,
4382,mar
4383,merkezimizinde dahil olduğu ilde eşzamanlı olarak başlatılan deneyap oryantasyon eğitim programı ilk dersinin açılışına sayın selçuk bayraktar online olarak katıldı
4384,ilk ders heyecanımıza sayın daire başkanımız tarık karkınçam değerli il müdürümüz mustafa çelikte katıldı
4385,dr mehmet kasapoğlu others
4386,florya final okulu
4387,floryafinal
4388,
4389,mar
4390,semep eğitim öğretim yılında okulun katılımı online olarak gerçekleşti öğrencilerimiz efe uğurlu zeynep karakoç ada altepe duru ağraz ayşe nizam mine ceylin buran hazırladıkları proje afişlerini ingilizce türkçe olarak sundular semepyesnt hilal
4391,hilalalism
4392,
4393,mar
4394,
4395,vardirbirbildig
4396,rosaty
4397,others
4398,yksye girmişsin muhtemelen dönemlerinin çoğu pandemiye denk geldi online eğitim gördün ciddiye almaman normal geldi
4399,
4400,aze
4401,raselfas
4402,
4403,mar
4404,
4405,zelihakeskiner
4406,
4407,aliosmanonder
4408,gitsin online eğitim işteceronimo
4409,palyacouzayli
4410,
4411,mar
4412,yaklaşık haftadır baya bilinen bir firmadan ders alıyorum online eğitim düşünebilirsiniz zamana kadar yaklaşık kişi girdi derslere bunlardan sadece bir tanesi kadındı şimdi bana kadın istihdamı arttırıyoruz demeyin yaa
4413,ünitercih
4414,unitercih
4415,
4416,mar
4417,mart online üniversite tanıtım fuarını kaçırmayın
4418,
4419,türkiye kktc genelinden birçok devlet vakıf üniversitesinin katılım göstereceği fuar süresince eğitim akademisyenler tarafından seminerler onur yar üniversite öğrencilerinin üniversite bölüm tanıtım canlı
4420,
4421,
4422,show this threadpffff
4423,tahaefe
4424,
4425,mar
4426,
4427,fiasafiruzgar
4428,evde ders çalışmak zor olmuyor online eğitim döneminde çalışmakta zorlanmıştım ben deneyi sağladın
4429,
4430,florya final okulu
4431,floryafinal
4432,
4433,mar
4434,semep eğitim öğretim yılında okulun katılımı online olarak gerçekleşti öğrencilerimiz efe uğurlu zeynep karakoç ada altepe duru ağraz ayşe nizam mine ceylin buran hazırladıkları proje afişlerini ingilizce türkçe olarak sundular
4435,semep
4436,ralemob
4437,yuksel
4438,
4439,mar
4440,online eğitim yaptınız çocuğumun gözleri bozuldu yeter artık eğitimdemetaversehayir
4441,
4442,uzmdrbeyhan berova
4443,berovadr
4444,
4445,mar
4446,pandeminin bana kazandırdığı önemli online eğitimler kongreler oldu an antalyada kongre yüz yüze online hocalar kahve molasına girince ben kıbrısta kahve yaptım egitim kktc
4447,soru pandeminin sizin açınızdan olumlu yanı oldu
4448,
4449,
4450,florya final okulu
4451,floryafinal
4452,
4453,mar
4454,semep eğitim öğretim yılında okulun katılımı online olarak gerçekleşti öğrencilerimiz efe uğurlu zeynep karakoç ada altepe duru ağraz ayşe nizam mine ceylin buran hazırladıkları proje afişlerini ingilizce türkçe olarak sundular semepyesnt hilal
4455,hilalalism
4456,
4457,mar
4458,
4459,vardirbirbildig
4460,rosaty
4461,others
4462,yksye girmişsin muhtemelen dönemlerinin çoğu pandemiye denk geldi online eğitim gördün ciddiye almaman normal geldi
4463,
4464,ralemob
4465,yuksel
4466,
4467,mar
4468,online eğitim yaptınız çocuğumun gözleri bozuldu yeter artık eğitimdemetaversehayir
4469,
4470,uzmdrbeyhan berova
4471,berovadr
4472,
4473,mar
4474,pandeminin bana kazandırdığı önemli online eğitimler kongreler oldu an antalyada kongre yüz yüze online hocalar kahve molasına girince ben kıbrısta kahve yaptım egitim kktc
4475,soru pandeminin sizin açınızdan olumlu yanı oldu
4476,
4477,
4478,berk who love order progress
4479,pozitivistturan
4480,
4481,mar
4482,online eğitim yaygınlaşıp ünide seneden fazla kalan dersleri online alıp sadece yüz yüze sınava gitmeli sistem ekonomi dinamizm kazanır
4483,
4484,show this threadaydan yavuz egt
4485,aydanacaryavuz
4486,
4487,mar
4488,keşke eğitimokul sadece derslerden ibaret olsaydı eğitim sadece değil online eğitim dönemi herkes farklı bir yönden travma oldu etp
4489,
4490,onlinesınavistiyoruz
4491,esraflawless
4492,
4493,mar
4494,son çare buraya yazıyorum ben sinop ayancık meslek yüksek okulu sınıf öğrencisiyim dönem okul sel bastığı arkadaşımıza sadece benim bölümden diğerlerini bilmiyorum yurt çıkmadığı pansiyonlarda dolu olduğu
4495,uzaktan eğitim sınavlara online girilmesi
4496,
4497,show this threadsevilaynurcatal
4498,sevilaynurcatal
4499,
4500,mar
4501,
4502,sevilaynurcatal
4503,
4504,demetcarus
4505,online eğitim zamanı hocalar kendini kaybettisosyal medyadan türlü düşüncenize şahit olduksaygı sevgi karşılıklıdır gözümüzde büyük kutsaldınızaptal insan yoktur öğretmen asla idam hükmü vermemeli mesleği icabı yöntem değiştirebilirsizden adam olmaz dememeli
4506,zügürt ağa
4507,zgrtaa
4508,
4509,mar
4510,
4511,osmanunsal
4512,iki üç ay önce
4513,eğitim yüz yüze olmalı online eğitim olmaz
4514,diyenler aynı kişilerdiişim gücüm geleceğim
4515,tusiad_igg
4516,
4517,mar
4518,hala yapay zeka eğitimine başlamadın
4519,
4520,tüsiad işim gücüm geleceğim online eğitim platformuna kayıt ol eğitimlerini tamamlaberk who love order progress
4521,pozitivistturan
4522,
4523,mar
4524,online eğitim yaygınlaşıp ünide seneden fazla kalan dersleri online alıp sadece yüz yüze sınava gitmeli sistem ekonomi dinamizm kazanır
4525,
4526,show this threadaydan yavuz egt
4527,aydanacaryavuz
4528,
4529,mar
4530,keşke eğitimokul sadece derslerden ibaret olsaydı eğitim sadece değil online eğitim dönemi herkes farklı bir yönden travma oldu etp
4531,
4532,onlinesınavistiyoruz
4533,esraflawless
4534,
4535,mar
4536,son çare buraya yazıyorum ben sinop ayancık meslek yüksek okulu sınıf öğrencisiyim dönem okul sel bastığı arkadaşımıza sadece benim bölümden diğerlerini bilmiyorum yurt çıkmadığı pansiyonlarda dolu olduğu
4537,uzaktan eğitim sınavlara online girilmesi
4538,
4539,show this threadsevilaynurcatal
4540,sevilaynurcatal
4541,
4542,mar
4543,
4544,sevilaynurcatal
4545,
4546,demetcarus
4547,online eğitim zamanı hocalar kendini kaybettisosyal medyadan türlü düşüncenize şahit olduksaygı sevgi karşılıklıdır gözümüzde büyük kutsaldınızaptal insan yoktur öğretmen asla idam hükmü vermemeli mesleği icabı yöntem değiştirebilirsizden adam olmaz dememeli
4548,zügürt ağa
4549,zgrtaa
4550,
4551,mar
4552,
4553,osmanunsal
4554,iki üç ay önce
4555,eğitim yüz yüze olmalı online eğitim olmaz
4556,diyenler aynı kişilerdiişim gücüm geleceğim
4557,tusiad_igg
4558,
4559,mar
4560,hala yapay zeka eğitimine başlamadın
4561,
4562,tüsiad işim gücüm geleceğim online eğitim platformuna kayıt ol eğitimlerini tamamladilek
4563,umrmsn
4564,
4565,mar
4566,şimdi ben anlatmadım bilmezsiniz geçen sene bir sene boyunca eğitim öğretim yaptık online
4567,
4568,tane sınıf öğrencisi vardı lgs sınavına hazırladık
4569,
4570,bunların tanesi fen lisesi kazandı tanesi anadolu lisesi kazandı
4571,
4572,ben gerek duymamıştım bunu yazmaya
4573,
4574,
4575,istar araştırma eğitim danışmanlık
4576,istararastirma
4577,
4578,mar
4579,seminer ücreti tl
4580,tarih mayıs cuma
4581,etkinlik yeri online
4582,
4583,istararaştırma istarakademi müminsekman başarısemineri
4584,show this threadçpelin
4585,caglapelin
4586,
4587,mar
4588,
4589,erkantrukten
4590,öğretim başka eğitim bambaşkadır eğitim yüzyüze gözgöze olur öğrenciyle sürekli temas halinde olmalıdır sarılarak dokunarak başını okşayarak çocuk sevildiğini hissetmelidir işin sanali olmaz online i olmaz metaverse ü olmaz
4591,eğitimdemetaversehayir
4592,zügürt ağa
4593,zgrtaa
4594,
4595,mar
4596,
4597,ogrencicamiasi
4598,kimse unutmayın lafları
4599,eğitim yüz yüze olmali
4600,diyerek okulları açtılar
4601,milyonlarca öğrenci aylarca tag açarak online istedi eğitim yüz yüze kmsli diyerek zorla asi yaptırdilar aşılamak ucin tuzak yaptılar okulları şimdi metaverse ucin tuzak yapacaklar
4602,
4603,zügürt ağa
4604,zgrtaa
4605,
4606,mar
4607,
4608,ogrencicamiasi
4609,hani online tarih olmuştu hani eğitim yüz yüze olmalı diyenler oldu şimdi unutmadı kimse lafları
4610,zügürt ağa
4611,zgrtaa
4612,
4613,mar
4614,
4615,erkantrukten
4616,eğitim yüz yüze olmalı dediler okulları açarak zorla aşı yaptırdilar hocalara öğrencilere online olmayacak eğitim yüz yüze olmazsa olmaz dediler şimdi oldu hani eğitim online kötüydü hani online tarih olmuştu hani eğitim yüz yüze olmalıydı
4617,
4618,zügürt ağa
4619,zgrtaa
4620,
4621,mar
4622,
4623,erkantrukten
4624,herkesin söylemesi gereken şeyi unutmayın kimse online eğitim olmaz eğitim yüz yüze olacak okulları açtılar tekrar milyonlarca öğrenci özellikle maddi manevi sebeplerle cogu aylardır tag açtı burada online istiyoruz eğitim yüz yüze olmalı dedilerdestek online eğitim
4625,subu_vekil
4626,
4627,mar
4628,
4629,harunmuslu
4630,seninde gsden kasitigin primle paraları karilarla yedigini biliyoz
4631,onlinesınavistiyoruz
4632,esraflawless
4633,
4634,mar
4635,son çare buraya yazıyorum ben sinop ayancık meslek yüksek okulu sınıf öğrencisiyim dönem okul sel bastığı arkadaşımıza sadece benim bölümden diğerlerini bilmiyorum yurt çıkmadığı pansiyonlarda dolu olduğu
4636,uzaktan eğitim sınavlara online girilmesi
4637,
4638,show this threadçpelin
4639,caglapelin
4640,
4641,mar
4642,
4643,erkantrukten
4644,öğretim başka eğitim bambaşkadır eğitim yüzyüze gözgöze olur öğrenciyle sürekli temas halinde olmalıdır sarılarak dokunarak başını okşayarak çocuk sevildiğini hissetmelidir işin sanali olmaz online i olmaz metaverse ü olmaz
4645,eğitimdemetaversehayir
4646,zügürt ağa
4647,zgrtaa
4648,
4649,mar
4650,
4651,ogrencicamiasi
4652,kimse unutmayın lafları
4653,eğitim yüz yüze olmali
4654,diyerek okulları açtılar
4655,milyonlarca öğrenci aylarca tag açarak online istedi eğitim yüz yüze kmsli diyerek zorla asi yaptırdilar aşılamak ucin tuzak yaptılar okulları şimdi metaverse ucin tuzak yapacaklar
4656,
4657,zügürt ağa
4658,zgrtaa
4659,
4660,mar
4661,
4662,ogrencicamiasi
4663,hani online tarih olmuştu hani eğitim yüz yüze olmalı diyenler oldu şimdi unutmadı kimse lafları
4664,zügürt ağa
4665,zgrtaa
4666,
4667,mar
4668,
4669,erkantrukten
4670,eğitim yüz yüze olmalı dediler okulları açarak zorla aşı yaptırdilar hocalara öğrencilere online olmayacak eğitim yüz yüze olmazsa olmaz dediler şimdi oldu hani eğitim online kötüydü hani online tarih olmuştu hani eğitim yüz yüze olmalıydı
4671,
4672,zügürt ağa
4673,zgrtaa
4674,
4675,mar
4676,
4677,erkantrukten
4678,herkesin söylemesi gereken şeyi unutmayın kimse online eğitim olmaz eğitim yüz yüze olacak okulları açtılar tekrar milyonlarca öğrenci özellikle maddi manevi sebeplerle cogu aylardır tag açtı burada online istiyoruz eğitim yüz yüze olmalı dedilerdestek online eğitim
4679,subu_vekil
4680,
4681,mar
4682,
4683,harunmuslu
4684,seninde gsden kasitigin primle paraları karilarla yedigini biliyoz
4685,online eğitim
4686,onlineegitimci
4687,
4688,mar
4689,
4690,unsalim
4691,ibb öğrenci akbiline zam yaparsa başvurular azalabilir trajikomik hüseyin yılmaz
4692,hsynyilmaz
4693,
4694,mar
4695,kor ona kor sana nın
4696,gripten farksız olduğunu kabul ettiler
4697,zaman
4698,yıl online eğitim yapıldı
4699,metaverse içinmi
4700,
4701,diyelimkiöğrenciler evlerinden gözlüklerle metaversede
4702,okullara
4703,öğretmenlere
4704,yetkililere gerek yok
4705,goyyimlerin sadece gençleri gerekli
4706,diğerleri
4707,
4708,views
4709,
4710,
4711,zeh
4712,zehrology
4713,
4714,mar
4715,bugun iki tane idam fermanim var sag cikamazsam lutfen online egitim
4716,hüseyin ay
4717,yolcuyum_
4718,
4719,mar
4720,okul kendini tavsiye etmiyor öğrenci kendi seçim hakkını kullanıyor kendine yeni değer alanı buluyor kendini ifade edebilme adına kendine sunulan imkanı kullanıyorbu dönüşümün ikinci basamağı basamağı online eğitim alternatif öğrenme alanı şimdi
4721,quote tweet
4722,muhammet yılmaz
4723,muhammet_yilmaz
4724,mar
4725,okul kendini tasfiye mi ediyor
4726,ösymnin bugün açıkladığı rakamlara göre yksye başvuran milyon bin adaydan bini açık öğretim lisesi mezunu
4727,rakamlar vatandaşın eğitimden ümidini kesmekte olduğunu okulun tasfiye sürecinin hızlandığını gösterirkaya ölmez
4728,kayaolmez
4729,
4730,mar
4731,
4732,ebul_hakem
4733,
4734,yorukoglu_hulya
4735,yakında online danışmatedavi yapıp sigorta devletten ücret talep edecekler zaman uzaktan eğitim olmaz tedavi olabilir demek durumunda kalacaklar
4736,not kendim bir yakınım psikoloji eğitimi alacak yaşta heveste değil
4737,hüseyin y
4738,hsynmatematik
4739,
4740,mar
4741,online eğitim neler olduğunu gördük metaverse düşünmeyen sormayan fikri olmayan kolay yönetilebilen çocuklar yetiştiririz artık eğitimdemetaversehayirutku
4742,utku
4743,
4744,mar
4745,online eğitim zamanı on sene geçmiş
4746,mehmet jk
4747,blackeagle_
4748,
4749,mar
4750,
4751,blackeagle_
4752,
4753,misvakcaps
4754,polatlımamakgölbaşıçubukakyurt içme suyu hattı
4755,çubuk barajı
4756,ağustos zafer parkıgazi park
4757,batikent rekreasyon alanı hayvanat bahçesi ad vizyon park onlarca semt parkı
4758,online eğitim nedeniyle mağdur olan köy cocuklarina bedava internet
4759,
4760,
4761,zügürt ağa
4762,zgrtaa
4763,
4764,mar
4765,
4766,erkantrukten
4767,eğitim yüz yüze olmalı dediler okulları açarak zorla aşı yaptırdilar hocalara öğrencilere online olmayacak eğitim yüz yüze olmazsa olmaz dediler şimdi oldu hani eğitim online kötüydü hani online tarih olmuştu hani eğitim yüz yüze olmalıydı
4768,
4769,zügürt ağa
4770,zgrtaa
4771,
4772,mar
4773,
4774,erkantrukten
4775,herkesin söylemesi gereken şeyi unutmayın kimse online eğitim olmaz eğitim yüz yüze olacak okulları açtılar tekrar milyonlarca öğrenci özellikle maddi manevi sebeplerle cogu aylardır tag açtı burada online istiyoruz eğitim yüz yüze olmalı dedilerkaya ölmez
4776,kayaolmez
4777,
4778,mar
4779,
4780,ebul_hakem
4781,
4782,yorukoglu_hulya
4783,yakında online danışmatedavi yapıp sigorta devletten ücret talep edecekler zaman uzaktan eğitim olmaz tedavi olabilir demek durumunda kalacaklar
4784,not kendim bir yakınım psikoloji eğitimi alacak yaşta heveste değil
4785,hüseyin y
4786,hsynmatematik
4787,
4788,mar
4789,online eğitim neler olduğunu gördük metaverse düşünmeyen sormayan fikri olmayan kolay yönetilebilen çocuklar yetiştiririz artık eğitimdemetaversehayirutku
4790,utku
4791,
4792,mar
4793,online eğitim zamanı on sene geçmiş
4794,mehmet jk
4795,blackeagle_
4796,
4797,mar
4798,
4799,blackeagle_
4800,
4801,misvakcaps
4802,polatlımamakgölbaşıçubukakyurt içme suyu hattı
4803,çubuk barajı
4804,ağustos zafer parkıgazi park
4805,batikent rekreasyon alanı hayvanat bahçesi ad vizyon park onlarca semt parkı
4806,online eğitim nedeniyle mağdur olan köy cocuklarina bedava internet
4807,
4808,
4809,biya
4810,biya
4811,
4812,mar
4813,
4814,biya
4815,
4816,lkgl
4817,devletin önlem olarak aldığı bir kararı öğretmeni suçlar davranmak cahilce olmuş online eğitim zorluğundan bir öğretmen emekli oldu
4818,
4819,maharatschi
4820,maharatschi
4821,
4822,mar
4823,
4824,tuncsatiroglu
4825,slm abim sizi yeni kesfettim abone oldum video paylasimlarinizi takip ediyorum ben evimde kendi kendime ons altin grafik analizi ögrenmek istiyorum nasil bir yol izlememi önerirsiniz kitap online egitim olabilir cevap simdiden tesekkur ederim
4826,samet değirmencioğlu
4827,sametdrmncglu
4828,
4829,mar
4830,
4831,ayla
4832,zelihakeskiner
4833,
4834,aliosmanonder
4835,veliler bağırıyorlardı corona var çocukları göndermek istemiyoruz kıt aklınla vardığın sonuç öğretmenin işten kaytarması oldu öğretmen evden zor olan eğitimi vermeye devam etti online eğitim yan gelip yatmadı bilmediğin konularda yorum yapmayacaksın
4836,
4837,hacer toramanoğlu
4838,hacertoramanol
4839,
4840,mar
4841,
4842,efsunelif
4843,
4844,gokturk_poyraz
4845,okulumdaki bütün meslektaşlarım online eğitim günlerinden kurtulduğu memnun yalnız okuldaki tek aşısız öğretmen benim bir arkadaş aşı baskısı bir doz biyontek sıvısı oldu ikinciyi olmadı diğer arkadaşlar iki üç doz biyontek sıvılı
4846,
4847,menekşe
4848,evergreennnnnn
4849,
4850,mar
4851,
4852,tcmeb
4853,
4854,rterdogan
4855,eğitim sadece yüzyüze olur online sanal metaverse den eğitim olmazmetaverse yerine gerçek dünyayı güzelleştirmek uğraşalımçocukların metaversee değildoğada koşup oynamaya ihtiyaçları varteknoloji bilim sorgulanmalıdırgerçek mutlu hayat tek ihtiyacımız olantgci
4856,garipreklamci
4857,
4858,mar
4859,salı günü online eğitim heyecanlı yükleniyornurdan
4860,bitcoin
4861,
4862,mar
4863,
4864,maviturkk
4865,zaten online eğitim çocukları bağımlı oldu bilgisayar dan koparamiyoruz
4866,efsun
4867,efsunelif
4868,
4869,mar
4870,
4871,hacertoramanol
4872,
4873,gokturk_poyraz
4874,öleceğiz online eğitim istiyoruz taglerine destek verdi ben bilmiyorum açıkçası çoğunluk memnun değildi online derslerden
4875,ölmekten korkan denyolar azınlıktaydı
4876,
4877,buket akbaş
4878,buketakbas
4879,
4880,mar
4881,
4882,demetcarus
4883,online eğitim güzellemesi yapanlar sanmıyorumçok büyük oranda destekleyecekler
4884,utku
4885,utku
4886,
4887,mar
4888,online eğitim zamanı on sene geçmiş
4889,mehmet jk
4890,blackeagle_
4891,
4892,mar
4893,
4894,blackeagle_
4895,
4896,misvakcaps
4897,polatlımamakgölbaşıçubukakyurt içme suyu hattı
4898,çubuk barajı
4899,ağustos zafer parkıgazi park
4900,batikent rekreasyon alanı hayvanat bahçesi ad vizyon park onlarca semt parkı
4901,online eğitim nedeniyle mağdur olan köy cocuklarina bedava internet
4902,
4903,
4904,menekşe
4905,evergreennnnnn
4906,
4907,mar
4908,
4909,tcmeb
4910,
4911,rterdogan
4912,eğitim sadece yüzyüze olur online sanal metaverse den eğitim olmazmetaverse yerine gerçek dünyayı güzelleştirmek uğraşalımçocukların metaversee değildoğada koşup oynamaya ihtiyaçları varteknoloji bilim sorgulanmalıdırgerçek mutlu hayat tek ihtiyacımız olantgci
4913,garipreklamci
4914,
4915,mar
4916,salı günü online eğitim heyecanlı yükleniyornurdan
4917,bitcoin
4918,
4919,mar
4920,
4921,maviturkk
4922,zaten online eğitim çocukları bağımlı oldu bilgisayar dan koparamiyoruz
4923,efsun
4924,efsunelif
4925,
4926,mar
4927,
4928,hacertoramanol
4929,
4930,gokturk_poyraz
4931,öleceğiz online eğitim istiyoruz taglerine destek verdi ben bilmiyorum açıkçası çoğunluk memnun değildi online derslerden
